City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Taltal,CL,-25.4,-70.4833,61.39,67,3,8.9,clear sky
283,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,80,40,13.8,volcanic ash
284,Atbasar,KZ,51.8,68.3333,42.84,65,1,5.41,clear sky
285,Pevek,RU,69.7008,170.3133,21.15,86,85,3.78,overcast clouds
286,San Quintin,MX,30.4833,-115.95,72.01,67,97,14.56,overcast clouds
287,Seydisehir,TR,37.4193,31.8453,57.58,37,0,2.84,clear sky
288,Krasnoselkup,RU,65.7,82.4667,40.75,96,100,15.23,light rain
289,Maceio,BR,-9.6658,-35.7353,87.24,66,40,14.97,scattered clouds
290,Tall Kayf,TR,37.0833,41.0667,72.07,16,0,4.12,clear sky
291,Ternate,ID,0.8,127.4,81.61,82,98,7.0,overcast clouds
292,Noumea,NC,-22.2763,166.4572,62.58,73,0,7.16,clear sky
293,Vajszlo,HU,45.8596,17.9841,54.72,75,100,4.45,light rain
294,Dunmore East,IE,52.1514,-6.9861,61.77,94,75,11.5,broken clouds
295,Sehithwa,BW,-20.4667,22.7167,90.16,20,72,5.77,broken clouds
296,Dharmanagar,IN,24.3667,92.1667,76.82,94,1,2.68,clear sky
297,Panuco,MX,22.05,-98.1667,84.04,64,44,4.09,scattered clouds
298,Namibe,AO,-15.1961,12.1522,67.26,73,68,8.25,broken clouds
299,Perelyub,RU,51.8667,50.3667,44.64,56,35,7.11,scattered clouds
300,Dakar,SN,14.6937,-17.4441,86.88,89,40,16.11,scattered clouds
301,Aksarka,RU,66.5606,67.7975,37.56,63,100,24.43,overcast clouds
302,Duobao,CN,30.67,112.6895,62.76,79,94,11.92,overcast clouds
303,Yaan,NG,7.3833,8.5667,82.38,75,95,4.23,overcast clouds
304,Leningradskiy,RU,69.3833,178.4167,24.1,97,100,2.39,light snow
305,Nelson Bay,AU,-32.7167,152.15,60.01,87,5,11.99,clear sky
306,Richards Bay,ZA,-28.783,32.0377,68.43,89,64,13.87,broken clouds
307,Buala,SB,-8.145,159.5921,79.2,87,96,8.79,moderate rain
308,Paramonga,PE,-10.6667,-77.8333,65.17,83,93,10.2,overcast clouds
309,Alugan,PH,12.2188,125.4808,76.86,89,100,12.73,moderate rain
310,Westport,US,41.1415,-73.3579,77.95,77,85,1.01,overcast clouds
311,Salinas,US,36.6777,-121.6555,61.52,62,75,10.36,broken clouds
312,Pisco,PE,-13.7,-76.2167,66.25,72,0,9.22,clear sky
313,Kirovsk,UA,48.6375,38.6428,44.35,32,28,11.68,scattered clouds
314,Kalawit,PH,8.0667,122.5167,79.9,83,100,1.81,overcast clouds
315,Niamey,NE,13.5137,2.1098,98.89,25,20,4.61,thunderstorm
316,Ishikari,JP,43.2397,141.3539,51.26,66,47,5.3,scattered clouds
317,Damietta,EG,31.4165,31.8133,76.89,63,0,11.77,clear sky
318,Inta,RU,66.0317,60.1659,34.5,97,97,22.55,light rain
319,Pouebo,NC,-20.4,164.5667,68.56,82,43,10.36,scattered clouds
320,Nelspruit,ZA,-25.4745,30.9703,73.69,68,0,4.61,clear sky
321,Nizhniy Tsasuchey,RU,50.5167,115.1333,42.28,66,100,4.81,light rain
322,Dourados,BR,-22.2211,-54.8056,89.37,42,16,6.46,few clouds
323,Port Macquarie,AU,-31.4333,152.9167,57.88,92,50,5.86,scattered clouds
324,Hamilton,US,39.1834,-84.5333,77.0,79,40,1.01,scattered clouds
325,Quelimane,MZ,-17.8786,36.8883,75.15,60,0,8.01,clear sky
326,Duvan,RU,55.695,57.9024,37.98,68,6,6.67,clear sky
327,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.66,65,71,2.86,broken clouds
328,Balkhash,KZ,46.844,74.9804,43.39,44,0,10.18,clear sky
329,Bengkulu,ID,-3.8004,102.2655,76.08,89,67,5.88,broken clouds
330,Amapa,BR,1.0,-52.0,98.67,28,55,4.74,broken clouds
331,Zhigansk,RU,66.7697,123.3711,23.9,81,100,19.35,overcast clouds
332,Kupang,ID,-10.1667,123.5833,77.23,82,23,5.37,few clouds
333,Vao,NC,-22.6667,167.4833,69.62,60,69,12.17,broken clouds
334,Inhambane,MZ,-23.865,35.3833,73.38,56,20,15.01,few clouds
335,Batagay-Alyta,RU,67.8006,130.4114,15.75,67,57,4.43,broken clouds
336,Griffith,US,41.5284,-87.4237,74.98,79,40,1.99,scattered clouds
337,Chipinge,ZW,-20.1883,32.6236,68.43,55,13,6.76,few clouds
338,Kutum,SD,14.2,24.6667,85.6,17,6,7.38,clear sky
339,Hudson Bay,CA,52.85,-102.3842,51.26,56,90,4.68,overcast clouds
340,Bubaque,GW,11.2833,-15.8333,84.87,74,89,8.01,overcast clouds
341,Chibombo,ZM,-14.6569,28.0706,78.24,30,6,6.11,clear sky
342,Troitskiy,RU,57.0603,63.7481,44.13,56,3,11.9,clear sky
343,Verkhoyansk,RU,67.5447,133.385,20.44,70,25,1.95,scattered clouds
344,Frontera,MX,26.9333,-101.45,77.95,53,0,2.44,clear sky
345,Beringovskiy,RU,63.05,179.3167,32.58,99,100,11.21,snow
346,Laguna,US,38.421,-121.4238,62.02,70,75,5.01,broken clouds
